"jezik","jelo","prijevod"
"francuski","the","èaj"
"spanjolski","te","èaj"
"portugalski","cha","èaj"
"talijanski","te","èaj"
"rumunjski","ceai","èaj"
"francuski","pieu","odrezak"
"spanjolski","estaca","odrezak"
"portugalski","estaca","odrezak"
"talijanski","palo","odrezak"
"rumunjski","miza","odrezak"
"francuski","riz","riža"
"spanjolski","arroz","riža"
"portugalski","arroz","riža"
"talijanski","riso","riža"
"rumunjski","orez","riža"
"francuski","cafe","kava"
"spanjolski","cafe","kava"
"portugalski","cafe","kava"
"talijanski","caffe","kava"
"rumunjski","cafea","kava"
"francuski","jus","sok"
"spanjolski","jugo","sok"
"portugalski","suco","sok"
"talijanski","succo","sok"
"rumunjski","suc","sok"
